sid,title,group_name,datelocation
R55059,,Dizzy Gillespie Octet,"Broadcast ""Birdland"", New York, March 17, 1951"
R55060,,The Dizzy Gillespie Sextet,"Broadcast ""Birdland"", New York, April 14, 1951"
R55061,,Dizzy Gillespie Sextet,"New York, April 16, 1951"
R55062,,Dizzy Gillespie Septet,"Broadcast ""Birdland"", New York, April 21, 1951"
R55063,,Dizzy Gillespie Sextet,"New York, August 16, 1951"
R55064,,Dizzy Gillespie Sextet,"Chicago, October 25, 1951"
R55065,,Dizzy Gillespie Sextet,"New York, February 29, 1952"
R55066,,Dizzy Gillespie Quintet,"Live ""Theatre des Champ-Elysees"", Paris, France, March 25, 1952"
R55067,,,"Paris, France, March 27, 1952"
R55068,,Dizzy Gillespie Orchestra,"Paris, France, March 29 & 30, 1952"
R55069,Dizzy Great,,"New York or Paris, spring 1952"
R55070,Dizzy Gillespie And His Operatic Strings,,"Live ""Theatre des Champs-Elysees"", Paris, France, April 5, 1952"
R55071,,Dizzy Gillespie Quartet/Quintet,"Live ""Theatre des Champs-Elysees"", Paris, France, April 6, 1952"
R55072,,Dizzy Gillespie Sextet,"Concert ""Schola Cantorum"", Paris, France, April 11, 1952"
R55073,,Dizzy Gillespie Quintet,"New York, July 18, 1952"
R55074,The World Famous Harlem New York Apollo Concerts,Dizzy Gillespie Sextet,"Broadcast, ""Apollo Theatre"", New York, November 19, 1952"
R55075,,Dizzy Gillespie And The Cool Jazz Stars,"Live ""Hot Versus Cool"", ""Birdland"", New York, November 24, 1952"
R55076,,Dizzy Gillespie Sextet,"Broadcast ""Birdland"", New York, November 27, 1952"
R55079,,Dizzy Gillespie Quintet,"Concert, ""Salle Pleyel"", Paris, France, February 9, 1953"
R55080,,,"Concert ""Rex Theatre"", Paris, France, c. February 1953"
R55081,,,"Concert ""Rex Theatre"", Paris, France, c. February 1953"
R55083,,,"Concert ""Rex Theatre"", Paris, France, c. February 1953"
R55085,,Dizzy Gillespie Quintet,"Paris, France, February 22, 1953"
R55086,,Dizzy Gillespie And The Paris Operatic String Orchestra,"Paris, France, February 22, 1953"
R55078,,Dizzy Gillespie Quintet,"Concert, NDR Funkhaus, Hamburg, Germany, March 8, 1953"
R55087,Ooh-shoo-be-doo !,,"Mutual Broadcast ""Stars in Jazz"", ""Birdland"", New York, March 18, 1953"
R55089,,,"Mutual Broadcast ""Stars in Jazz"", ""Birdland"", New York, April 2, 1953"
R55093,,,"Broadcast ""Birdland"", c. end May, 1953"
R55094,,Dizzy Gillespie Quintet,"New York, c. June 1953"
R55095,,Dizzy Gillespie All Stars,"Broadcast ""Birdland"", New York, c. June 1953"
R55096,Diz And Getz,Dizzy Gillespie/Stan Getz Sextet,"Los Angeles, December 9, 1953"
R55097,Manteca,Dizzy Gillespie And His Orchestra,"New York, May 24, 1954"
R55098,,Dizzy Gillespie Quintet,"New York, May 25, 1954"
R55100,Afro,Dizzy Gillespie And His Latin American Rhythm,"New York, June 3, 1954"
R55099,,Dizzy Gillespie Sextet,"New York, June 8, 1954"
R55101,Diz Big Band,Dizzy Gillespie And His Orchestra,"New York, September 15, 1954"
R55102,,Dizzy Gillespie's Orchestra With Johnny Richards' Orchestra,"New York, September 16, 1954"
R55103,,Dizzy Gillespie And Roy Eldridge,"Los Angeles, October 29, 1954"
R55104,One Night In Washington,Dizzy Gillespie With The Orchestra,"Live ""Club Kavakos"", Washington, D.C., March 13, 1955"
R55105,Dizzy Gillespie,,1950's
R55106,,Dizzy Gillespie And His Orchestra,"New York, September 12, 1955"
R55107,Tour De Force,Dizzy Gillespie/Harry Edison/Roy Eldridge,"New York, November 2, 1955"
R55109,,Dizzy Gillespie And His Orchestra,"Los Angeles, November 8, 1955"
R56423,,,"New York, August, 1947"
R56427,,,"New York, April 27, 1949"
R56435,,,"New York, October 9, 1953"
R57466,,Dexter Gordon Quintet,"New York, January 29, 1946"
R57472,Dexter Gordon Quintette,,"New York, December 11, 1947"
R57664,,,"New York, April 29, 1953"
R57665,Singin' Till The Girls Come Home,,"New York, February 18, 1954"
R58221,Carnegie Hall Concert 1950,Jazz At The Philharmonic All Stars,"Live ""Carnegie Hall"", New York, September 16, 1950"
R58222,,Charlie Parker With Strings,"Live ""Carnegie Hall"", New York, September 16, 1950"
R58223,,Oscar Peterson Duo,"Live ""Carnegie Hall"", New York, September 16, 1950"
R58224,,Coleman Hawkins Quartet,"Live ""Carnegie Hall"", New York, September 16, 1950"
R58225,,Buddy Rich Trio,"Live ""Carnegie Hall"", New York, September 16, 1950"
R58226,,Norman Granz Jam Session,"Hollywood, CA, June 17, 1952"
R58227,,Norman Granz Jam Session,"Hollywood, CA, August 3, 1953"
R58228,,Norman Granz Jam Session,"New York, September 2, 1953"
R58229,,Norman Granz Jam Session,"Hollywood, CA, October 30, 1954"
R58604,,Wardell Gray Quartet,"New York, late 1948"
R58605,,Wardell Gray Quartet,"New York, November 11, 1949"
R58695,,,"New York, August 13, 1950"
R58696,,,"New York, June 27, 1951"
R58697,Early Bones,,"New York, October 5, 1951"
R58698,Bennie Green With Strings,,"Chicago, May 13, 1952"
R58699,Blow Your Horn,,"New York, July 23, 1953"
R59351,,Tiny Grimes Quintette,"New York, September 15, 1944"
R60787,,,"Just Jazz Concert, Los Angeles, November, 1948"
R60819,,Al Haig Quartet/Sextette,"New York, late 1948"
R60820,,,"New York, c. April 1949"
R60821,,Al Haig Sextet,"New York, May 12, 1949"
R60822,Prezervation,,"New York, July 28, 1949"
R60823,,Al Haig Trio,"New York, February 27, 1950"
R60824,Live In Hollywood,,"Live ""The Trade Winds"", Inglewood, CA, August 4, 1952"
R198587,Inglewood Jam 1952,,"Live ""The Trade Winds"", Inglewood, CA, August 18, 1952"
R60825,,Al Haig Trio,"Los Angeles, September 6, 1952"
R178886,Al Haig 1953,,"Live ""The Clef"", Hollywood, CA, January 11, 1953"
R60826,The Sessions Vol.1,Al Haig/Lee Konitz,"Live ""The Clef"", Hollywood, CA, June 11, 1953"
R60827,Jazz Will O' The Wisp,,"New York, March 13, 1954"
R60829,All Haig Quartet,,"New York, September, 1954"
R61600,,,"New York, September 11, 1939"
R61627,All American Award Concert,Lionel Hampton And His Orchestra,"Concert ""Carnegie Hall"", New York, April 15, 1945"
R61645,,Lionel Hampton And His Orchestra,"Broadcast, Culver City, Ca., June 20, 1947"
R61649,,Lionel Hampton And His Orchestra,"Los Angeles, August 6, 1947"
R61690,,Lionel Hampton Quartet,"New York, September 2, 1953"
R61702,,Lionel Hampton Quartet,"New York, April 12, 1954"
R61705,,Lionel Hampton Quartet,"New York, September 13, 1954"
R61706,,Lionel Hampton Quintet,"New York, September 15, 1954"
R61713,The Lionel Hampton-Art Tatum-Buddy Rich Trio,,"Los Angeles, August 1, 1955"
R61714,,Lionel Hampton Big Band,"Los Angeles, August 2, 1955"
R61717,,Lionel Hampton And His Giants,"Los Angeles, September 7, 1955"
R62392,,The Four Bops,"New York, November 30, 1948"
R62654,Toni - Toni Harper Sings,Tony Harper Acc By The Oscar Peterson Trio,"Los Angeles, December 29, 1955"
R62784,,Bill Harris And His Septet,"Chicago, April 5, 1945"
R62796,,,"Live, New York, June, 1952"
R63260,,Clyde Hart's All Stars,"New York, January 4, 1945"
R8433,Bopping The Blues,,"Hollywood, CA, October 18, 1946"
R63646,,Coleman Hawkins Quintet,"New York, December 18, 1943"
R63650,,Coleman Hawkins And His Orchestra,"New York, February 16, 1944"
R63652,,Coleman Hawkins And His Orchestra,"New York, February 22, 1944"
R63671,,Coleman Hawkins And His Orchestra,"New York, December, 1946"
R63673,,Coleman Hawkins All Stars,"New York, June, 1947"
R63674,,Coleman Hawkins And His All Stars,"New York, December 11, 1947"
R63678,,Coleman Hawkins Quartet,"Concert ""Just Jazz 37"", Hollywood, prob November 1948"
R63679,,Coleman Hawkins And His All Stars,"New York, August 29, 1949"
R63687,,Coleman Hawkins Quintet,"Concert, New York, February 10, 1951"
R63692,,Coleman Hawkins Quintet,"Broadcast ""Birdland"", New York, September 6, 1952"
R63694,,Coleman Hawkins Quintet,"Broadcast ""Birdland"", New York, September 13, 1952"
R63695,,,"Broadcast ""Birdland"", New York, September 16, 1952"
R64072,,Herbie Haymer Quintet,"Los Angeles, June 9, 1945"
R64139,Bushman's Holiday,Roy Haynes Sextet,"Stockholm, Sweden, October 3, 1954"
R64140,Modern Group,Roy Haynes Band,"Paris, October 26, 1954"
R64141,,,"Paris, October 27, 1954"
R64142,,Roy Haynes Trio,"Paris, October 28, 1954"
R64238,,J.C. Heard Quintet,"New York, August 17, 1945"
R64240,,,"New York, May, 1948"
R65604,,Woody Herman And His Orchestra,"Los Angeles, July 24, 1942"
R65618,,Woody Herman And His Orchestra,"Old Gold Show Rehearsal, New York, August 2, 1944"
R65622,,Woody Herman And His Orchestra,"Old Gold Show Rehearsal, New York, August 23, 1944"
R65639,,Woody Herman And His Orchestra,"Los Angeles, December 11 & 12, 1944"
R65640,,Woody Herman And His Woodchoppers,"Los Angeles, December 12, 1944"
R65641,Swingin' Round The Clock,Woody Herman And His Orchestra,"AFRS ""Swingin' 'Round the Clock"", (Broadcast date), December 31, 1944"
R65643,,,"V Disc Session, Vanderbilt Theater, New York, January 24, 1945"
R65644,,,"V Disc Session, Vanderbilt Theater, New York, January 24, 1945"
R65646,,,"V Disc Session, Vanderbilt Theater, New York, January 24, 1945"
R65647,,,"V Disc Session, Vanderbilt Theater, New York, January 24, 1945"
R65648,,Woody Herman And His Orchestra,"Liederkranz Hall, New York, mid - February 1945"
R65659,,Woody Herman And His Orchestra,"New York, August 8, 1945"
R65664,,Woody Herman And His Orchestra,"New York, September 5, 1945"
R65665,,,"New York, September 8, 1945"
R65671,,Woody Herman And His Orchestra,"New York, November 16, 1945"
R65692,,Woody Herman And His Orchestra,"New York, February 6, 1946"
R65713,,Woody Herman And His Woodchoppers,"Pioner Musical Instrument Company, Chicago, 1946"
R185327,,Woody Herman and his Woochoppers,"Chicago, May 13, 1946"
R65715,,"Woody Herman Show, AFRS 30","Wildroot Radio Show #32, Chicago, May 17, 1946"
R65716,,Woody Herman And His Woodchoppers,"Chicago, May 20, 1946"
R65717,,"Woody Herman Show, AFRS 31","Wildroot Radio Show #33, Chicago, May 24, 1946"
R65718,,"Woody Herman Show, AFRS 32","Wildroot Radio Show #34, Chicago, May 31, 1946"
R65726,,Woody Herman And His Orchestra,"Los Angeles, August 19, 1946"
R193170,,Woody Herman and His Orchestra,"Avodon Ballroom, Los Angeles, October 11, 1946"
R65731,,Woody Herman And His Woodchoppers,"Los Angeles, October 12, 1946"
R65732,,Woody Herman And His Orchestra,"Chicago, December 10, 1946"
R66237,,Al Hibbler Acc By Mercer Ellington And His Orchestra,"New York, c. spring 1947"
R66242,,Al Hibbler Acc By The Ellingtonians,"New York, September 21, 1950"
R66247,Al Hibbler Sings Love Songs,,"Los Angeles, April 1, 1952"
R163290,,,"Private recording ""Blue Bird Inn"", Detroit, MI, October 1, 1949"
R66563,,,"New York, May 17, 1937"
R66638,,Earl Hines Sextet,"New York, April 26, 1944"
R66663,,Earl Hines And His Sextet,"Hollywood, CA, c. August 1952"
R66664,,Earl Hines Sextet,"New York, December 15, 1952"
R67055,,Les Hite And His Orchestra,"New York, c. mid April 1942"
R67249,,,"San Francisco, July 17, 1952"
R67253,,,"New York, September 17, 1953"
R78020,,Chubby Kemp And Her All Stars (The Ellingtonians With Chubby Kemp),"New York, September 21, 1950"
R67608,,Jazz At The Philharmonic Concert,"Live ""Carnegie Hall"", New York, May 27, 1946"
R67637,,Billie Holiday And Her Orchestra,"Los Angeles, c. May, 1952"
R67638,,Billie Holiday And Her Orchestra,"Los Angeles, c. May, 1952"
R67641,,Billie Holiday And Her Lads Of Joy,"New York, July 27, 1952"
R183086,,,"Live, JATP Concert, New York, September 13, 1952"
R67653,,Billie Holiday And Her Band,"Fine Sound Studios, New York,, April 14, 1954"
R67659,,Carnegie Hall Concert,"Concert ""Carnegie Hall"", New York, May 6, 1955"
R67705,Joe Holiday And His Band,,"New York, March 4, 1953"
R69582,,Frank Humphries' Orchestra,"New York, fall 1945"
R90630,The Jazz School,Art Mardigan Sextet,"New York, August, 1954"
R6810,,,"Los Angeles, December 1952"
R70938,,Chubby Jackson Sextet,"Chicago, July 1, 1944"
R70939,,Chubby Jackson's Septet,"New York, January 10, 1945"
R70944,,Chubby Jackson & His Knights,"Live ""The Pied Piper"" (*), New York, August 22, 1947"
R70949,,Chubby Jackson And His Orchestra,"New York, February 24, 1949"
R70955,,The Jackson/Harris Herd,"Live ""The Bandbox"", New York, February 23, 1953"
R166295,,The Jackson/Harris Herd,"Live ""Blue Note, Chicago, IL, March, 1953"
R71087,Meet Milt Jackson,Milt Jackson And His New Sound Group,"New York, February 23, 1949"
R71088,The Quartet,Milt Jackson Quartet,"New York, August 24, 1951"
R71089,,,"New York, September 18, 1951"
R71395,,Illinois Jacquet And His Orchestra,"New York, January 7, 1947"
R71410,,,"New York, July 22, 1952"
R71550,,,"AFRS ""Command Performance"", transcription, Hollywood, CA, September 30, 1944"
R71554,,Paris Jazz Festival Jam Session,"Paris Jazz Festival, ""Salle Pleyel"", Paris, 2nd conc. 8:45pm, May 15, 1949"
R71555,,,"Broadcast ""Birdland"", New York, prob June 17, 1950"
R71558,Dinah Jams,,"Los Angeles, August 14, 1954"
R72254,,Ida James Acc By John Hunt's Orchestra,"New York, 1947"
R90877,,,"Los Angeles, January 11, 1946"
R72894,,Jazz At The Philharmonic,"Live ""Philharmonic Auditorium"", Los Angeles, CA, January 28, 1946"
R72896,,,"Live ""Philharmonic Auditorium"", Los Angeles, CA, January 28, 1946"
R72899,,Jazz At The Philharmonic,"Live ""Embassy Theatre"", Los Angeles, CA, April 22, 1946"
R72901,,,"Live ""Embassy Theatre"", Los Angeles, CA, April 22, 1946"
R72919,,Jazz At The Philharmonic,"Live ""Embassy Auditorium"", Los Angeles, April 22, 1946"
R72908,,Jazz At The Philharmonic,"Live ""Carnegie Hall"", New York, June 3, 1946"
R72910,,Jazz At The Philharmonic,"Live ""Carnegie Hall"", New York, June 17, 1946"
R72912,,,"Live ""Carnegie Hall"", New York, June 17, 1946"
R172549,,,"Live ""Carnegie Hall"", New York, June 17, 1946"
R72921,,Jazz At The Philharmonic,"Live ""Philharmonic Auditorium"", Los Angeles, October 7, 1946"
R72924,,,"Los Angeles, CA, October 7, 1946"
R72935,,Jazz At The Philharmonic,"Live ""Carnegie Hall"", New York, May 12, 1947"
R72936,,,"Live ""Carnegie Hall"", New York, May 24, 1947"
R72942,,Jazz At The Philharmonic,"Live ""Academy of Music"", Philadelphia, PA, September 26, 1947"
R72943,,,"Live ""Academy of Music"", Philadelphia, PA, September 26, 1947"
R72946,,,"Live ""Academy of Music"", Philadelphia, PA, September 26, 1947"
R72947,,Jazz At The Philharmonic,"Carnegie Hall, New York, September 27, 1947"
R72950,"Carnegie Hall, 1949",Jazz At The Philharmonic,"Live ""Carnegie Hall"", New York, February 11, 1949"
R72951,,Ella Fitzgerald,"Live ""Carnegie Hall"", New York, February 11, 1949"
R72952,,,"Live ""Carnegie Hall"", New York, February 11, 1949"
R72953,,Machito And His Orchestra,"Live ""Carnegie Hall"", New York, February 11, 1949"
R72954,,,"Live ""Carnegie Hall"", New York, February 11, 1949"
R72956,,Jazz At The Philharmonic,"Radio broadcast ""Carnegie Hall"", New York, summer 1949"
R72957,,Jazz At The Philharmonic,"Carnegie Hall, New York, September 18, 1949"
R72959,,Hank Jones,"Concert ""Carnegie Hall"", New York, September 18, 1949"
R72961,Jazz At The Philharmonic : The Ella Fitzgerald Set,,"Concert ""Carnegie Hall"", New York, September 18, 1949"
R72962,,,"Concert ""Carnegie Hall"", New York, September 18, 1949"
R72964,,JATP All Stars,"JATP film soundtrack, New York, autumn 1950"
R72968,,Jazz At The Philharmonic,"Concert broadcast ""Salle Pleyel"", Paris, France, April 6, 1952"
R197360,,,"Concert broadcast ""Salle Pleyel"", Paris, France, April 6, 1952"
R72969,,Jazz At The Philharmonic : JATP All Stars,"Concert ""Carnegie Hall"", New York, September 13, 1952"
R72971,,Gene Krupa/Buddy Rich,"Concert ""Carnegie Hall"", New York, September 13, 1952"
R72972,,Oscar Peterson Trio,"Concert ""Carnegie Hall"", New York, September 13, 1952"
R166702,"Frankfurt, 1952",,"Frankfurt, Germany, November 20, 1952"
R72974,,Jazz At The Philharmonic,"Concert ""Salle Pleyel"", Paris, France, March 3, 1953"
R72975,"Norman Granz' Jazz At The Philharmonic Hartford, 1953",JATP All Stars,"Hartford, Conn., May, 1953"
R72976,,Oscar Peterson Quartet,"Hartford, Conn., May, 1953"
R72977,,Lester Young Quintet,"Hartford, Conn., May, 1953"
R72978,,Jazz At The Philharmonic,"Concert ""Carnegie Hall"", New York, September 19, 1953"
R72979,,,"Concert ""Carnegie Hall"", New York, September 19, 1953"
R72980,,,"Concert ""Carnegie Hall"", New York, September 19, 1953"
R72981,,The Oscar Peterson Trio,"Concert ""Carnegie Hall"", New York, September 19, 1953"
R72982,,The Lester Young Quintet,"Concert ""Carnegie Hall"", New York, September 19, 1953"
R72984,,Ella Fitzgerald,"Concert ""Carnegie Hall"", New York, September 19, 1953"
R72985,,JATP All Stars,"JATP concert, late September 1953"
R72986,JATP In Tokyo - Live At The Nichigeki Theatre,JATP All Stars,"Concerts ""Nichigeki Theatre"", Tokyo, November 4, 7 & 8, 1953"
R72987,,The Oscar Peterson Trio,"Concerts ""Nichigeki Theatre"", Tokyo, November 4, 7 & 8, 1953"
R72989,,Ella Fitzgerald,"Concerts ""Nichigeki Theatre"", Tokyo, November 4, 7 & 8, 1953"
R72990,,JATP All Stars,"Concerts ""Nichigeki Theatre"", Toyko, November 4, 7 & 8, 1953"
R72991,,Jazz At The Philharmonic : JATP All Stars,"Concert ""Bushnell Memorial Auditorium"", Hartford, Conn., September 17, 1954"
R72992,,The Lionel Hampton/Buddy DeFranco Sextet,"Concert ""Bushnell Memorial Auditorium"", Hartford, Conn., September 17, 1954"
R72993,,Ella Fitzgerald,"Concert ""Bushnell Memorial Auditorium"", Hartford, Conn., September 17, 1954"
R72994,,The Buddy DeFranco Quintet,"Concert ""Bushnell Memorial Auditorium"", Hartford, Conn., September 17, 1954"
R72995,,The Oscar Peterson Trio,"Concert ""Bushnell Memorial Auditorium"", Hartford, Conn., September 17, 1954"
R72996,JATP Stockholm '55,JATP All Stars,"Concert ""Konserthuset"", Stockholm, Sweden, February 2, 1955"
R72997,Jam Session 1955,JATP All Stars,"Live ""Sportpalast"", Berlin, Germany, February 10, 1955"
R72998,,Buddy DeFranco With The Oscar Peterson Quartet,"Live ""Sportpalast"", Berlin, Germany, February 10, 1955"
R72999,,Oscar Peterson Quartet,"Live ""Sportpalast"", Berlin, Germany, February 10, 1955"
R73000,,Jazz At The Philharmonic,"Live ""Carnegie Hall"", New York, September 17, 1955"
R73002,,Jazz At The Philharmonic : JATP All Stars,"Concert ""Opera House"", Chicago, October 2, 1955"
R73003,,The Oscar Peterson Trio,"Concert ""Opera House"", Chicago, October 2, 1955"
R73335,Jazz Laboratory Vol. 2,,"Hackensack, N.J., February 8, 1955"
R90946,,Joe Marsala's Chicagoans,"New York, March 16, 1938"
R90961,,Joe Marsala Sextet,"New York, January 12, 1945"
R73580,Bird On The Road,,"CBC TV Broadcast ""Jazz Workshop"", Montreal, February 5, 1953"
R73582,,,"Live ""Chez Paree"", Montreal, February 7, 1953"
R73583,,,"Live ""Chez Paree"", Montreal, February 7, 1953"
R74763,Mad Be Bop,Jay Jay Johnson's BeBoppers,"New York, June 26, 1946"
R74766,,Jay Jay Johnson's Boppers,"New York, May 26, 1949"
R74767,,,"New York, October 17, 1949"
R75418,,Albinia Jones Acc By Don Byas' Swing Seven,"New York, April 14, 1945"
R75592,,Hank Jones Quartet,"Concert ""Carnegie Hall"", New York, April 5, 1947"
R75594,Autobiography In Jazz,Hank Jones Trio,"New York, April 29, 1953"
R75595,,Hank Jones Trio,"New York, September 4, 1953"
R75821,,,"Paris, France, October 28, 1954"
R76188,Jazz Collaborations,Thad Jones Quartet,"Hackensack, N.J., March 10, 1955"
R78390,Kenton And Bird,"Stan Kenton Orchestra : Guests Charlie Parker, Dizzie Gillespie And Candido","Concert ""Civic Auditorium"", Portland, Oregon, February 25, 1954"
R7692,Inglewood Jam,Harry Babasin All Stars,"Live ""Trade Winds"", Inglewood, CA, June 16, 1952"
R7693,Harry Babasin Quartet,,"Los Angeles, September 6, 1952"
R78700,,,"prob. Syria Mosque, Pittsburgh, PA, March 5, 1947"
R92521,,,"New York, February 1, 1950"
R93098,,,"Hollywood, CA, July 29, 1946"
R93101,,,"Live ""Hi-De-Ho Club"", Los Angeles, March 9, 1947"
R93102,,Howard McGhee Sextet,"New York, December 3, 1947"
R93104,,,"Chicago, February 1948"
R93108,,Howard McGhee/Fats Navarro Boptet,"New York, October 11, 1948"
R93109,Howard McGhee All Stars,,"New York, January 23, 1950"
R93178,,,"New York, June 27, 1951"
R94237,,Jay McShann Orchestra,"Live ""Trocedero Ballroom"", Wichita, Kansas, August 9, 1940"
R94238,,Jay McShann And His Combo,"Broadcast ""KFBI"", Wichita, Kansas, November 30, 1940"
R94239,,,"Broadcast ""KFBI"", Wichita, Kansas, December 2, 1940"
R94240,,Jay McShann And His Orchestra,"Dallas, Texas, April 30, 1941"
R94241,,Jay McShann And His Orchestra,"Chicago, October 11, 1941"
R94243,,Jay McShann And His Orchestra,"NBC Broadcast ""Blue Network"", Savoy Ballroom, New York, February 13, 1942"
R94244,,Jay McShann And His Orchestra,"New York, July 2, 1942"
R94570,New Faces - New Sounds,Gil Melle Sextet,"Hackensack, N.J., March 2, 1952"
R95244,,,"New York, January 16, 1941"
R95247,,,"New York, January 15, 1946"
R95250,,,"New York, December 15, 1946"
R95251,,,"New York, December 21, 1947"
R95253,,,"New York, January 3, 1949"
R95254,,,"New York, January 10, 1950"
R95255,,,"New York, January 23, 1951"
R95256,,Billy Eckstine & The Metronome All Stars,"New York, July 9, 1953"
R95258,,,"TV-cast WPIX, New York, February 21, 1949"
R96777,,Lucky Millinder And His Orchestra,"New York, July 29, 1942"
R97109,,,"New York, September 16, 1952"
R97110,,Charles Mingus Trio,"New York, April 14, 1953"
R97115,Mingus At The Bohemia,Charlie Mingus Quintet Plus Max Roach,"Live ""Cafe Bohemia"", New York, 5-8:30 pm, December 18, 1955"
R98285,,Thelonious Monk Quartet,"WNYC Broadcast, ""Festival of American Music"", New York, February 16, 1948"
R98288,,Thelonious Monk Sextet,"New York, May 30, 1952"
R98290,,Thelonious Monk Trio,"New York, December 18, 1952"
R98292,,Thelonious Monk Quintet,"Hackensack, N.J., May 11, 1954"
R98420,,Clark Monroe's Band,"Clark Monroe's Uptown House, New York, January/March, 1942"
R99024,,Brew Moore All Stars,"New York, May 20, 1949"
R99025,Brewer's Brew : The Blue Brew,,"Broadcast ""Birdland"", New York, June 30, 1950"
R99146,,,"New York, 1:30pm - 5pm, May 18, 1950"
R8457,,,"Live ""The Lighthouse"", Hermosa Beach, CA, September 13, 1953"
R8458,Witch Doctor,Chet Baker And The Lighthouse Allstars,"Live ""The Lighthouse"", Hermosa Beach, CA, September 13, 1953"
R8476,2 Trumpet Geniuses Of The 50'S: Brownie And Chet,Chet Baker Quintet,"TV broadcast ""Tonight"", New York, December, 1954"
R9360,,Buddy Banks Trio/Quartet,"Paris, October, 1954"
R99283,,,"New York, October 26, 1949"
R99408,Buddy Moreno And His Orchestra 1947 & 1949,,"Lang Worth transcriptions, Chicago, IL, November 20, 1947"
R79443,,John Kirby And His Orchestra,"Broadcast ""Aquarium Restaurant"", New York, May 19, 1944"
R79446,,,"Broadcast ""Aquarium Restaurant"", New York, May 24, 1944"
R79447,,,"Broadcast, New York, June 14, 1944"
R101894,,,"New York, June 21, 1946"
R102083,,Fats Navarro/Gil Fuller's Modernists,"New York, September 6, 1946"
R102086,,,"New York, November 29, 1948"
R103556,Herbie Nichols Trio,,"Hackensack, N.J., August 1, 1955"
R104621,,Red Norvo And His Overseas Spotlight Band,"V-Disc session, RCA studios, New York City, October 28, 1943"
R104635,,Red Norvo And His Selected Sextet,"New York, June 6, 1945"
R104636,Town Hall Concert,Red Norvo And His Orchestra,"Concert ""Town Hall"", New York, June 9, 1945"
R104909,,Alice O'Connell With Glenn Hardman Trio,"Chicago, June 27, 1940"
R104943,,Anita O'Day And The Tadd Dameron Trio,"Broadcast ""Royal Roost"", New York, October 2, 1948"
R105028,The Second Afro Cuban Jazz Suite,Chico O'Farril And His Orchestra,"New York, January 21, 1951"
R105029,Afro Cuban,Chico O'Farrill And His Latin Orchestra,"New York, June 26, 1951"
R105030,Chico O'Farrill Jazz,Chico O'Farrill And His Orchestra,"New York, August 7, 1951"
R105031,Chico O'Farrill,,"New York, September 7, 1951"
R105032,,,"New York, November 24, 1951"
R105035,,,"New York, March 24, 1952"
R9449,,Wilbert Baranco And His Rhythm Bombardiers,"Los Angeles, January, 1946"
R10432,,,"Decca/World Transcriptions, New York, October 2, 1945"
R10437,,,"Decca/World Transcriptions, Hollywood, CA, December 8, 1945"
